City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
201,Moranbah,AU,2021-06-25 15:24:09,-22.0016,148.0466,Clouds,scattered clouds,62.83,85,38,4.54,0,0
202,Tuatapere,NZ,2021-06-25 15:24:09,-46.1333,167.6833,Clouds,broken clouds,48.81,94,51,1.79,0,0
203,Kousseri,CM,2021-06-25 15:24:09,12.0769,15.0306,Clouds,few clouds,100.36,32,20,2.3,0,0
204,Muros,ES,2021-06-25 15:14:23,42.7762,-9.0603,Clouds,broken clouds,85.68,57,69,5.32,0,0
205,Kichera,RU,2021-06-25 15:24:10,55.9375,110.0997,Clouds,overcast clouds,59.36,88,85,1.32,0,0
206,Alyangula,AU,2021-06-25 15:24:10,-13.8483,136.4192,Clouds,overcast clouds,74.21,82,100,15.35,0,0
207,Polunochnoye,RU,2021-06-25 15:24:10,60.8697,60.4153,Clouds,overcast clouds,69.87,73,100,2.98,0,0
208,Saint Austell,GB,2021-06-25 15:24:11,50.3383,-4.7658,Clouds,scattered clouds,60.44,67,40,16.11,0,0
209,Marrakesh,MA,2021-06-25 15:24:02,31.6315,-8.0083,Clear,clear sky,95.07,28,0,5.75,0,0
210,Pierre,US,2021-06-25 15:24:11,44.3683,-100.351,Clouds,overcast clouds,72.99,56,90,5.75,0,0
211,Torbay,CA,2021-06-25 15:24:11,47.6666,-52.7314,Clear,clear sky,76.87,52,1,9.22,0,0
212,Kerema,PG,2021-06-25 15:24:12,-7.9631,145.7785,Clouds,overcast clouds,77.23,90,100,9.35,0,0
213,Pevek,RU,2021-06-25 15:24:12,69.7008,170.3133,Clear,clear sky,32.41,85,3,2.01,0,0
214,Mayskiy,RU,2021-06-25 15:24:13,47.6931,40.1025,Clouds,scattered clouds,89.44,41,32,2.48,0,0
215,Upernavik,GL,2021-06-25 15:24:13,72.7868,-56.1549,Rain,light rain,39.52,95,100,16.13,0,0
216,Tibati,CM,2021-06-25 15:24:13,6.4667,12.6333,Rain,light rain,81.28,63,90,2.01,0,0
217,Brae,GB,2021-06-25 15:24:14,60.3964,-1.353,Clouds,scattered clouds,53.51,74,42,20.09,0,0
